MLS#,CPR,Photos,Original Price,Region,Sold Price,Sold Ratio,Orig. Ratio,Beds,Living Sq Ft,Land Sq Ft,Year,Days,Condition,Tax,Total Fees,Land.1,Building,Assessed Total,Assessed Ratio,Zoning,Flood Zone,View,Pool,Easements,Stories,SoldDate,ListDate,priceInc,priceDec,largeCPR,aboveOrig,fullBaths,halfBaths,rem5Yrs,Parking2,level,Basement,splitLevel
202118082,0,25,1199999,Metro,1365000,1.1375,0.8791,3,1568,7993,1985,9,4.0,452,0,883100,200000,1083100,1.1079,04 - R-7.5 Residential District,Zone X,1,0,0,1.0,2021-09-30,2021-07-12,0,0,0,0,2,1,0,3,0,0,0
202120482,0,20,1399000,Metro,1500000,1.0722,0.9327,5,2662,7904,1960,10,4.5,300,0,1101400,66800,1168200,1.1976,04 - R-7.5 Residential District,Zone X,1,0,0,2.0,2021-09-30,2021-08-10,0,0,0,0,3,1,0,3,0,0,0
202120985,0,6,1500000,Metro,1470000,0.98,1.0204,5,878,16555,1929,7,1.5,271,0,972300,18900,991200,1.5133,05 - R-5 Residential District,Zone X,1,0,1,2.0,2021-09-30,2021-08-16,0,0,0,1,2,0,0,3,0,0,0
202121962,0,3,950000,DiamondHd,900000,0.9474,1.0556,4,1648,5416,1946,0,2.5,246,0,832000,12600,844600,1.1248,05 - R-5 Residential District,Zone X,1,0,0,2.0,2021-09-29,2021-08-31,0,0,0,1,2,0,0,3,0,0,0
202118472,0,19,1200000,Metro,1265000,1.0542,0.9486,4,1443,7723,1970,12,4.0,265,0,867700,129300,997000,1.2036,04 - R-7.5 Residential District,Zone X,0,0,0,1.0,2021-09-29,2021-07-23,0,0,0,0,2,0,0,2,1,0,0
202119679,0,25,1200000,DiamondHd,1211000,1.0092,0.9909,3,2224,8250,1949,7,2.5,447,0,1006500,75500,1082000,1.1091,05 - R-5 Residential District,Zone X,1,0,0,2.0,2021-09-29,2021-08-03,0,0,0,0,2,0,0,2,0,0,0
202120269,0,25,1250000,Metro,1250000,1.0,1.0,2,1380,10000,1953,10,4.0,528,0,939100,287300,1226400,1.0192,03 - R10 - Residential District,Zone X,0,0,1,1.0,2021-09-29,2021-08-06,0,0,0,0,2,0,0,3,0,0,0
202119656,0,24,1049000,DiamondHd,1215000,1.1582,0.8634,4,1088,6258,1950,9,4.0,220,0,845000,84700,929700,1.1283,04 - R-7.5 Residential District,Zone X,1,0,0,1.0,2021-09-28,2021-07-29,0,0,0,0,1,0,0,3,1,0,0
202120957,1,11,1780000,DiamondHd,1500000,0.9434,1.1867,3,3329,18441,2021,13,6.0,130,0,444300,0,444300,3.5787,05 - R-5 Residential District,Zone X,1,0,1,3.0,2021-09-28,2021-08-22,0,1,0,1,3,1,0,3,0,0,0
202124765,0,1,800000,Metro,800000,1.0,1.0,5,1888,3831,1960,44,1.5,196,0,520400,159800,680200,1.1761,05 - R-5 Residential District,Zone X,1,0,1,2.0,2021-09-27,2021-08-14,0,0,0,0,2,1,0,1,1,0,0
202029162,0,24,975000,DiamondHd,965000,1.0266,1.0104,4,2682,7500,1957,21,2.0,262,0,862500,177100,1039600,0.9042,04 - R-7.5 Residential District,Zone X,1,0,0,2.0,2021-09-27,2020-11-11,0,1,0,1,2,0,0,1,0,0,0
202113089,0,10,1250000,DiamondHd,1252888,1.0023,0.9977,2,1003,5000,1929,6,1.5,260,0,710000,140300,850300,1.4701,05 - R-5 Residential District,Zone X,1,0,0,1.0,2021-09-27,2021-05-26,0,0,0,0,3,0,0,2,0,0,0
202124825,0,2,1425000,HawaiiKai,1420000,0.9965,1.0035,4,2984,6275,1974,49,5.0,323,0,732600,377200,1109800,1.284,05 - R-5 Residential District,Zone D,1,1,1,2.0,2021-09-27,2021-08-09,0,0,0,1,3,0,1,3,1,0,0
202120317,0,20,848000,Metro,865000,1.02,0.9803,3,990,5000,1953,11,6.0,85,0,580000,43400,623400,1.3603,07 - R-3.5 Residential District,Zone X,1,0,1,1.0,2021-09-24,2021-08-07,0,0,0,0,1,0,0,3,0,1,0
202121461,0,2,895000,DiamondHd,850000,0.9497,1.0529,5,2112,4750,1970,4,1.5,194,0,663000,142600,646100,1.3852,05 - R-5 Residential District,Zone X,1,0,1,2.0,2021-09-24,2021-08-25,0,0,0,1,2,0,0,2,1,0,0
202116344,0,19,998000,Metro,1065000,1.0671,0.9371,5,1737,4705,1974,4,5.0,212,0,709400,191200,900600,1.1082,05 - R-5 Residential District,Zone X,0,0,0,2.0,2021-09-24,2021-08-07,0,0,0,0,4,0,0,2,1,0,0
202120348,0,13,1025000,HawaiiKai,1101000,1.0741,0.931,3,1496,5498,1966,9,5.0,215,68,727700,99900,827600,1.2385,05 - R-5 Residential District,Zone D,1,0,1,1.0,2021-09-24,2021-08-09,0,0,0,0,2,0,0,3,1,0,0
